EMPLID;	ROLE;	CATALOG_NBR;	STRM;	SESSION_CODE;	CLASS_SECTION
00004442;Chargé de formation;3023509;2103;1;S01
00004442;Chargé de formation;3023509;2111;1;DF1
00004442;Chargé de formation;3023509;2111;1;S01
00004442;Chargé de formation;3029006;2103;1;DF1
00004442;Chargé de formation;3029006;2103;1;J01
00004442;Chargé de formation;3029006;2103;1;J02
00004442;Chargé de formation;3029006;2103;1;J03
00004442;Chargé de formation;3029006;2111;1;DF1
00004442;Chargé de formation;3029006;2111;1;J01
00004442;Chargé de formation;321402;2111;1;A01
00004442;Chargé de formation;321402;2111;1;B01
00004640;Chargé de formation;3080309;2111;1;F01
00004640;Chargé de formation;3080709;2102;1;S01
00004640;Chargé de formation;3080709;2103;1;J01
00004640;Chargé de formation;3080709;2103;1;S01
00004640;Chargé de formation;3080709;2111;1;J01
00004640;Chargé de formation;3080709;2111;1;S01
00004640;Chargé de formation;7080000;2102;1;J01
00004640;Chargé de formation;7080000;2103;1;J01
00004640;Chargé de formation;7080000;2111;1;J01
00005756;Chargé de formation;3043309;2102;1;S01
00005756;Chargé de formation;3043309;2103;1;J01
00005756;Chargé de formation;3043309;2103;1;Z10
00005756;Chargé de formation;3043309;2111;1;DF1
00005756;Chargé de formation;3043309;2111;1;S01
00005756;Chargé de formation;3043309;2111;1;Z10
00005756;Chargé de formation;3049006;2102;1;DF1
00005756;Chargé de formation;3049006;2102;1;IJ1
00005756;Chargé de formation;3049006;2103;1;DF1
00007132;Chargé de formation;230097A;2103;1;A01
00007132;Chargé de formation;230097A;2103;1;B01
00007132;Chargé de formation;230097A;2111;1;A01
00007132;Chargé de formation;230097A;2111;1;B01
00007132;Chargé de formation;330010A;2103;1;A01
00007132;Chargé de formation;330098;2103;1;A01
00007132;Chargé de formation;330098;2111;1;A01
00007132;Chargé de formation;403099;2102;1;CH1
00007518;Chargé de formation;240197;2103;1;A02
00007518;Chargé de formation;240197;2103;1;B01
00007518;Chargé de formation;240197;2111;1;B01
00007518;Chargé de formation;440094;2103;1;S01
00007518;Chargé de formation;440094;2111;1;J01
00007518;Chargé de formation;440094;2111;1;S01
00007518;Chargé de formation;440094;2111;1;S02
00007738;Chargé de formation;180407;2111;1;G07
00007738;Chargé de formation;180407;2111;1;J10
00007738;Chargé de formation;285107;2103;1;A01
00007738;Chargé de formation;285107;2103;1;A02
00007738;Chargé de formation;285107;2103;1;C01
00007738;Chargé de formation;285107;2111;1;B01
00007738;Chargé de formation;285107;2111;1;C01
00007738;Chargé de formation;382205;2103;1;A01
00007738;Chargé de formation;382205;2111;1;DF1
00007954;Chargé de formation;140700;2103;1;B02
00007954;Chargé de formation;140700;2103;1;G07
00007954;Chargé de formation;343009;2102;1;W01
00007954;Chargé de formation;343009;2102;1;W02
00007954;Chargé de formation;343009;2111;1;B01
00007954;Chargé de formation;343009;2111;1;E01
00007954;Chargé de formation;443594;2103;1;LV1
00007954;Chargé de formation;443594;2111;1;J01
00008249;Chargé de formation;140700;2103;1;A01
00008249;Chargé de formation;140700;2103;1;D04
00008249;Chargé de formation;140700;2111;1;Z26
00008249;Chargé de formation;240597;2103;1;A02
00008249;Chargé de formation;241208;2103;1;A01
00008249;Chargé de formation;241208;2111;1;A01
00008249;Chargé de formation;341208;2103;1;B01
00008249;Chargé de formation;341308;2103;1;B01
00008534;Chargé de formation;3291006;2102;1;S01
00008534;Chargé de formation;3291006;2102;1;S02
00008534;Chargé de formation;3291010;2103;1;DF1
00008534;Chargé de formation;391006;2102;1;A01
00008534;Chargé de formation;391006;2102;1;DF1
00008534;Chargé de formation;391010;2103;1;A02
00008534;Chargé de formation;391010;2111;1;A01
00008534;Chargé de formation;391010;2111;1;B01
00008534;Chargé de formation;391010;2111;1;DF1
00008534;Chargé de formation;391106;2102;1;DF1
00008534;Chargé de formation;391110;2103;1;A01
00008534;Chargé de formation;391110;2103;1;B01
00008534;Chargé de formation;391110;2111;1;C01
00008534;Chargé de formation;391110;2111;1;D01
00008534;Chargé de formation;391110;2111;1;DF1
00008534;Chargé de formation;391110;2111;1;E01
00008534;Chargé de formation;490796;2102;1;A01
00008534;Chargé de formation;490796;2102;1;B02
00008534;Chargé de formation;490796;2102;1;C03
00008534;Chargé de formation;490796;2102;1;D04
00008535;Chargé de formation;140700;2103;1;T30
00008535;Chargé de formation;241000;2103;1;B01
00008535;Chargé de formation;241000;2111;1;B02
00008535;Chargé de formation;241000;2111;1;C01
00008535;Chargé de formation;340400;2103;1;A01
00008535;Chargé de formation;341208;2103;1;A01
00008535;Chargé de formation;341308;2103;1;A01
00008535;Chargé de formation;343009;2111;1;A01
00008535;Chargé de formation;343009;2111;1;D01
00009816;Chargé de formation;3030010;2111;1;DF1
00009816;Chargé de formation;3030010;2111;1;J01
00009816;Chargé de formation;3030010;2111;1;LV1
00009816;Chargé de formation;3030207;2102;1;DF1
00009816;Chargé de formation;3030207;2102;1;S01
00009816;Chargé de formation;3030207;2111;1;S01
