EMPLID;CATALOG_NBR;STRM;SESSION_CODE;CLASS_SECTION;STATUS;STRM_ID
11116381;1037PREPA;2093;1;P40;Actif;20931
11125790;1037PREPA;2093;1;P40;Actif;20931
11125793;1037PREPA;2093;1;P40;Actif;20931
11125801;1037PREPA;2093;1;P40;Actif;20931
11125828;1037PREPA;2093;1;P40;Actif;20931
11125832;1037PREPA;2093;1;P40;Actif;20931
11125863;1037PREPA;2093;1;P40;Actif;20931
11126088;1037PREPA;2093;1;P40;Actif;20931
11126094;1037PREPA;2093;1;P40;Actif;20931
11126150;1037PREPA;2093;1;P40;Actif;20931
11126182;1037PREPA;2093;1;P40;Actif;20931
11126188;1037PREPA;2093;1;P40;Actif;20931
11126236;1037PREPA;2093;1;P40;Actif;20931
11126252;1037PREPA;2093;1;P40;Actif;20931
11126375;1037PREPA;2093;1;P40;Actif;20931
11126513;1037PREPA;2093;1;P40;Actif;20931
11126594;1037PREPA;2093;1;P40;Actif;20931
11126599;1037PREPA;2093;1;P40;Actif;20931
11126637;1037PREPA;2093;1;P40;Actif;20931
11126656;1037PREPA;2093;1;P40;Actif;20931
11126664;1037PREPA;2093;1;P40;Actif;20931
11126879;1037PREPA;2093;1;P40;Actif;20931
11126902;1037PREPA;2093;1;P40;Actif;20931
11126950;1037PREPA;2093;1;P40;Actif;20931
11126994;1037PREPA;2093;1;P40;Actif;20931
11126999;1037PREPA;2093;1;P40;Actif;20931
11127010;1037PREPA;2093;1;P40;Actif;20931
11127168;1037PREPA;2093;1;P40;Actif;20931
11127222;1037PREPA;2093;1;P40;Actif;20931
11127331;1037PREPA;2093;1;P40;Actif;20931
11127373;1037PREPA;2093;1;P40;Actif;20931
11127382;1037PREPA;2093;1;P40;Actif;20931
11127496;1037PREPA;2093;1;P40;Actif;20931
11127504;1037PREPA;2093;1;P40;Actif;20931
11127586;1037PREPA;2093;1;P40;Actif;20931
11127587;1037PREPA;2093;1;P40;Actif;20931
11127596;1037PREPA;2093;1;P40;Actif;20931
11127734;1037PREPA;2093;1;P40;Actif;20931
11127665;1037PREPA;2093;1;P40;Actif;20931
11127735;1037PREPA;2093;1;P40;Actif;20931
11127896;1037PREPA;2093;1;P40;Actif;20931
11128016;1037PREPA;2093;1;P40;Actif;20931
11128018;1037PREPA;2093;1;P40;Actif;20931
11128041;1037PREPA;2093;1;P40;Actif;20931
11115642;1037PREPA;2093;1;P40;Actif;20931
11115256;1037PREPA;2093;1;P41;Actif;20931
11115778;1037PREPA;2093;1;P41;Actif;20931
11116794;1037PREPA;2093;1;P41;Actif;20931
11125803;1037PREPA;2093;1;P41;Actif;20931
11125910;1037PREPA;2093;1;P41;Actif;20931
11126186;1037PREPA;2093;1;P41;Actif;20931
11126246;1037PREPA;2093;1;P41;Actif;20931
11126281;1037PREPA;2093;1;P41;Actif;20931
11126292;1037PREPA;2093;1;P41;Actif;20931
11126399;1037PREPA;2093;1;P41;Actif;20931
11126466;1037PREPA;2093;1;P41;Actif;20931
11126555;1037PREPA;2093;1;P41;Actif;20931
11126561;1037PREPA;2093;1;P41;Actif;20931
11126577;1037PREPA;2093;1;P41;Actif;20931
11126597;1037PREPA;2093;1;P41;Actif;20931
11126974;1037PREPA;2093;1;P41;Actif;20931
11126987;1037PREPA;2093;1;P41;Actif;20931
11127002;1037PREPA;2093;1;P41;Actif;20931
11127004;1037PREPA;2093;1;P41;Actif;20931
11127102;1037PREPA;2093;1;P41;Actif;20931
11127217;1037PREPA;2093;1;P41;Actif;20931
11127310;1037PREPA;2093;1;P41;Actif;20931
11127375;1037PREPA;2093;1;P41;Actif;20931
11127377;1037PREPA;2093;1;P41;Actif;20931
11127577;1037PREPA;2093;1;P41;Actif;20931
11127499;1037PREPA;2093;1;P41;Actif;20931
11127595;1037PREPA;2093;1;P41;Actif;20931
11127608;1037PREPA;2093;1;P41;Actif;20931
11127624;1037PREPA;2093;1;P41;Actif;20931
11127627;1037PREPA;2093;1;P41;Actif;20931
11127686;1037PREPA;2093;1;P41;Actif;20931
11127728;1037PREPA;2093;1;P41;Actif;20931
11127730;1037PREPA;2093;1;P41;Actif;20931
11127801;1037PREPA;2093;1;P41;Actif;20931
11127814;1037PREPA;2093;1;P41;Actif;20931
11127957;1037PREPA;2093;1;P41;Actif;20931
11127968;1037PREPA;2093;1;P41;Actif;20931
11127983;1037PREPA;2093;1;P41;Actif;20931
11128011;1037PREPA;2093;1;P41;Actif;20931
11128024;1037PREPA;2093;1;P41;Actif;20931
11128028;1037PREPA;2093;1;P41;Actif;20931
11128047;1037PREPA;2093;1;P41;Actif;20931
11128109;1037PREPA;2093;1;P41;Actif;20931
11128373;1037PREPA;2093;1;P41;Actif;20931
11127665;1006PREPA;2093;1;P01;Actif;20931
11115256;1006PREPA;2093;1;P01;Actif;20931
11125863;1006PREPA;2093;1;P01;Actif;20931
11126577;1006PREPA;2093;1;P01;Actif;20931
11124161;1006PREPA;2093;1;P01;Actif;20931
11125789;1006PREPA;2093;1;P01;Actif;20931
11125790;1006PREPA;2093;1;P01;Actif;20931
11125832;1006PREPA;2093;1;P01;Actif;20931
11126246;1006PREPA;2093;1;P01;Actif;20931
11126375;1006PREPA;2093;1;P01;Actif;20931
11126399;1006PREPA;2093;1;P01;Actif;20931
11126594;1006PREPA;2093;1;P01;Actif;20931
11126599;1006PREPA;2093;1;P01;Actif;20931
11127896;1006PREPA;2093;1;P01;Actif;20931
11127957;1006PREPA;2093;1;P01;Actif;20931
11115778;1006PREPA;2093;1;P01;Actif;20931
11128536;1006PREPA;2093;1;P01;Actif;20931
11128615;1006PREPA;2093;1;P01;Actif;20931
11128723;1006PREPA;2093;1;P01;Actif;20931
11128890;1006PREPA;2093;1;P01;Actif;20931
11128911;1006PREPA;2093;1;P01;Actif;20931
11128986;1006PREPA;2093;1;P01;Actif;20931
11133360;1006PREPA;2093;1;P01;Actif;20931
11116381;1016PREPA;2093;1;P40;Actif;20931
11126088;1016PREPA;2093;1;P40;Actif;20931
11126094;1016PREPA;2093;1;P40;Actif;20931
11126150;1016PREPA;2093;1;P40;Actif;20931
11126182;1016PREPA;2093;1;P40;Actif;20931
11126188;1016PREPA;2093;1;P40;Actif;20931
11126236;1016PREPA;2093;1;P40;Actif;20931
11126252;1016PREPA;2093;1;P40;Actif;20931
11126375;1016PREPA;2093;1;P40;Actif;20931
11126513;1016PREPA;2093;1;P40;Actif;20931
11126594;1016PREPA;2093;1;P40;Actif;20931
11126599;1016PREPA;2093;1;P40;Actif;20931
11126637;1016PREPA;2093;1;P40;Actif;20931
11126656;1016PREPA;2093;1;P40;Actif;20931
11126664;1016PREPA;2093;1;P40;Actif;20931
11126879;1016PREPA;2093;1;P40;Actif;20931
11126902;1016PREPA;2093;1;P40;Actif;20931
11126950;1016PREPA;2093;1;P40;Actif;20931
11126994;1016PREPA;2093;1;P40;Actif;20931
11126999;1016PREPA;2093;1;P40;Actif;20931
11127010;1016PREPA;2093;1;P40;Actif;20931
11127168;1016PREPA;2093;1;P40;Actif;20931
11127222;1016PREPA;2093;1;P40;Actif;20931
11127331;1016PREPA;2093;1;P40;Actif;20931
11127373;1016PREPA;2093;1;P40;Actif;20931
11127382;1016PREPA;2093;1;P40;Actif;20931
11127496;1016PREPA;2093;1;P40;Actif;20931
11127504;1016PREPA;2093;1;P40;Actif;20931
11127586;1016PREPA;2093;1;P40;Actif;20931
11125793;1016PREPA;2093;1;P40;Actif;20931
11125801;1016PREPA;2093;1;P40;Actif;20931
11127587;1016PREPA;2093;1;P40;Actif;20931
11127596;1016PREPA;2093;1;P40;Actif;20931
11127665;1016PREPA;2093;1;P40;Actif;20931
11127734;1016PREPA;2093;1;P40;Actif;20931
11127735;1016PREPA;2093;1;P40;Actif;20931
11127896;1016PREPA;2093;1;P40;Actif;20931
11128016;1016PREPA;2093;1;P40;Actif;20931
11128018;1016PREPA;2093;1;P40;Actif;20931
11128041;1016PREPA;2093;1;P40;Actif;20931
11128057;1016PREPA;2093;1;P40;Actif;20931
11128072;1016PREPA;2093;1;P40;Actif;20931
11128118;1016PREPA;2093;1;P40;Actif;20931
11128123;1016PREPA;2093;1;P40;Actif;20931
11128313;1016PREPA;2093;1;P40;Actif;20931
11128384;1016PREPA;2093;1;P40;Actif;20931
11128536;1016PREPA;2093;1;P40;Actif;20931
11128618;1016PREPA;2093;1;P40;Actif;20931
11128911;1016PREPA;2093;1;P40;Actif;20931
11128971;1016PREPA;2093;1;P40;Actif;20931
11129062;1016PREPA;2093;1;P40;Actif;20931
11129096;1016PREPA;2093;1;P40;Actif;20931
11129367;1016PREPA;2093;1;P40;Actif;20931
11129400;1016PREPA;2093;1;P40;Actif;20931
