CATALOG_NBR;STRM;SESSION_CODE;CLASS_SECTION;SEQ;CLASS_EXAM_TYPE;DATE_HEURE_DEBUT;DATE_HEURE_FIN;FACILITY_ID;DESCR;STRM_ID
    ANGL-H;2093;1;A01;      1; ;2009-08-17 01:00;2009-12-22 01:01; ; ;20931
    ANGL-H;2093;1;A01;      1;TEST;2009-08-27 10:30;2009-08-27 13:00;BDCA;A à SINC;20931
    ANGL-H;2093;1;A01;      2;TEST;2009-08-27 10:30;2009-08-27 13:00;CIBC;SIND à Z;20931
    ANGL-H;2093;1;B02;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-H;2093;1;B02;      1;TEST;2009-08-27 10:30;2009-08-27 13:00;BSCO;A à LANG;20931
    ANGL-H;2093;1;B02;      2;TEST;2009-08-27 10:30;2009-08-27 13:00;CIBC;LANH à Z;20931
    ANGL-H;2093;1;C03;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-H;2093;1;C03;      1;TEST;2009-08-27 10:30;2009-08-27 13:00;DETO;A à LEMI;20931
    ANGL-H;2093;1;C03;      2;TEST;2009-08-27 10:30;2009-08-27 13:00;KPMG;LEMJ à Z;20931
    ANGL-H;2093;1;D04;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-H;2093;1;D04;      1;TEST;2009-08-27 10:30;2009-08-27 13:00;GPAR;A à MAHD;20931
    ANGL-H;2093;1;D04;      2;TEST;2009-08-27 10:30;2009-08-27 13:00;EYOU;MAHE à Z;20931
    ANGL-H;2093;1;E05;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-H;2093;1;E05;      1;TEST;2009-08-27 10:30;2009-08-27 13:00;PGAM;A à MAYB;20931
    ANGL-H;2093;1;E05;      2;TEST;2009-08-27 10:30;2009-08-27 13:00;HDES;MAYC à Z;20931
    ANGL-H;2093;1;F06;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-H;2093;1;F06;      1;TEST;2009-08-27 10:30;2009-08-27 13:00;RCGT;A à MESR;20931
    ANGL-H;2093;1;F06;      2;TEST;2009-08-27 10:30;2009-08-27 13:00;MHUS;MESS à Z;20931
    ANGL-H;2093;1;FR1;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-H;2093;1;FR1;      1;TEST;2009-09-19 09:00;2009-09-19 11:30;PWCO;FERMEE 1;20931
    ANGL-H;2093;1;FR1;      2;TEST;2009-09-19 09:00;2009-09-19 11:30;PGAM;TOUS;20931
    ANGL-H;2093;1;G07;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-H;2093;1;G07;      1;TEST;2009-08-27 08:30;2009-08-27 11:00;METR;A à LATA;20931
    ANGL-H;2093;1;G07;      2;TEST;2009-08-27 08:30;2009-08-27 11:00;SMAR;LATB à Z;20931
    ANGL-H;2093;1;H08;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-H;2093;1;H08;      1;TEST;2009-08-27 08:30;2009-08-27 11:00;PWCO;A à MAGH;20931
    ANGL-H;2093;1;H08;      2;TEST;2009-08-27 08:30;2009-08-27 11:00;TDMM;MAGI à Z;20931
    ANGL-H;2093;1;I09;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-H;2093;1;I09;      1;TEST;2009-08-27 08:30;2009-08-27 11:00;QUEB;A à MARI;20931
    ANGL-H;2093;1;I09;      2;TEST;2009-08-27 08:30;2009-08-27 11:00;TRAN;MARJ à Z;20931
    ANGL-H;2093;1;J10;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-H;2093;1;J10;      1;TEST;2009-08-27 08:30;2009-08-27 11:00;TALG;A à LESI;20931
    ANGL-H;2093;1;J10;      2;TEST;2009-08-27 08:30;2009-08-27 11:00;NMGA;LESJ à Z;20931
    ANGL-H;2093;1;K11;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-H;2093;1;K11;      1;TEST;2009-08-27 12:15;2009-08-27 14:45;3072;A à RACI;20931
    ANGL-H;2093;1;K11;      2;TEST;2009-08-27 12:15;2009-08-27 14:45;3021;RACJ à Z;20931
    ANGL-H;2093;1;L12;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-H;2093;1;L12;      1;TEST;2009-08-27 12:15;2009-08-27 14:45;3020;A à KEBI;20931
    ANGL-H;2093;1;L12;      2;TEST;2009-08-27 12:15;2009-08-27 14:45;3021;KEBJ à Z;20931
    ANGL-H;2093;1;M13;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-H;2093;1;M13;      1;TEST;2009-08-27 12:15;2009-08-27 14:45;3051;A à MART;20931
    ANGL-H;2093;1;M13;      2;TEST;2009-08-27 12:15;2009-08-27 14:45;3074;MARU à Z;20931
    ANGL-H;2093;1;N14;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-H;2093;1;N14;      1;TEST;2009-08-27 12:15;2009-08-27 14:45;3052;A à MARX;20931
    ANGL-H;2093;1;N14;      2;TEST;2009-08-27 12:15;2009-08-27 14:45;3074;MARY à Z;20931
    ANGL-H;2093;1;X01;      1; ;2009-09-12 09:00;2009-09-12 11:30; ; ;20931
    ANGL-H;2093;1;X01;      1;TEST;2009-09-12 09:00;2009-09-12 11:30;QUEB;TOUS;20931
    ANGL-H;2093;1;X09;      1; ;2009-08-29 01:00;2009-12-22 01:01; ; ;20931
    ANGL-H;2093;1;X09;      1;TEST;2009-09-12 09:00;2009-09-12 11:30;METR;FERMEE 1;20931
    ANGL-H;2093;1;X09;      2;TEST;2009-09-12 09:00;2009-09-12 11:30;RCGT;FERMEE 2;20931
    ANGL-H;2093;1;X09;      3;TEST;2009-09-12 09:00;2009-09-12 11:30;KPMG;FERMEE 3;20931
    ANGL-H;2093;1;X09;      4;TEST;2009-09-12 09:00;2009-09-12 11:30;PGAM;FERMEE 4;20931
    ANGL-H;2093;1;Y01;      1; ;2009-11-08 09:00;2009-11-08 11:30; ; ;20931
    ANGL-H;2093;1;Y01;      1;TEST;2009-11-08 09:00;2009-11-08 11:30;BDCA;TOUS;20931
    ANGL-H;2093;1;Y09;      1; ;2009-11-08 09:00;2009-11-08 11:30; ; ;20931
    ANGL-H;2093;1;Y09;      1;TEST;2009-11-08 09:00;2009-11-08 11:30;EYOU;FERMEE 1;20931
    ANGL-H;2093;1;Y09;      2;TEST;2009-11-08 09:00;2009-11-08 11:30;BSCO;FERMEE 2;20931
    ANGL-H;2093;1;Y09;      3;TEST;2009-11-08 09:00;2009-11-08 11:30;CIBC;FERMEE 3;20931
    ANGL-H;2093;1;Y09;      4;TEST;2009-11-08 09:00;2009-11-08 11:30;TALG;FERMEE 4;20931
    ANGL-H;2093;1;Y09;      5;TEST;2009-11-08 09:00;2009-11-08 11:30;PGAM;FERMEE 5;20931
    ANGL-H;2093;1;Y09;      6;TEST;2009-11-08 09:00;2009-11-08 11:30;PWCO;FERMEE 6;20931
    ANGL-H;2093;1;Y09;      7;TEST;2009-11-08 09:00;2009-11-08 11:30;GPAR;FERMEE 7;20931
    ANGL-H;2101;1;FR5;      1; ;2010-01-23 09:00;2010-01-23 11:30; ; ;21011
    ANGL-H;2101;1;FR5;      1;TEST;2010-01-23 09:00;2010-01-23 11:30;TALG;TOUS;21011
    ANGL-H;2101;1;FR6;      1; ;2010-03-20 09:00;2010-03-20 11:30; ; ;21011
    ANGL-H;2101;1;FR6;      1;TEST;2010-03-20 09:00;2010-03-20 11:30;HDES;FERMEE 1;21011
    ANGL-H;2101;1;FR6;      2;TEST;2010-03-20 09:00;2010-03-20 11:30;BDCA;TOUS;21011
    ANGL-H;2101;1;FR7;      1; ;2010-03-14 10:00;2010-03-14 12:30; ; ;21011
    ANGL-H;2101;1;FR7;      1;TEST;2010-03-14 10:00;2010-03-14 12:30;METR;FERMEE 1;21011
    ANGL-H;2101;1;FR7;      2;TEST;2010-03-14 10:00;2010-03-14 12:30;QUEB;TOUS;21011
    ANGL-H;2101;1;GL1;      1; ;2010-03-13 09:00;2010-03-13 11:30; ; ;21011
    ANGL-H;2101;1;GL1;      1;TEST;2010-03-13 09:00;2010-03-13 11:30;SHUB;TOUS;21011
    ANGL-H;2101;1;TR1;      1; ;2010-02-13 14:00;2010-02-13 16:30; ; ;21011
    ANGL-H;2101;1;TR1;      1;TEST;2010-02-13 14:00;2010-02-13 16:30;SMAR;TOUS;21011
    ANGL-H;2101;1;TR2;      1; ;2010-03-13 14:00;2010-03-13 16:30; ; ;21011
    ANGL-H;2101;1;TR2;      1;TEST;2010-03-13 14:00;2010-03-13 16:30;QUEB;TOUS;21011
    ANGL-H;2101;1;X01;      1; ;2010-01-16 09:00;2010-01-16 11:30; ; ;21011
    ANGL-H;2101;1;X01;      1;TEST;2010-01-16 09:00;2010-01-16 11:30;BDCA;TOUS;21011
    ANGL-H;2101;1;X09;      1; ;2010-01-16 09:00;2010-01-16 11:30; ; ;21011
    ANGL-H;2101;1;X09;      1;TEST;2010-01-16 09:00;2010-01-16 11:30;PGAM;FERMEE 1;21011
    ANGL-H;2101;1;X09;      2;TEST;2010-01-16 09:00;2010-01-16 11:30;GPAR;FERMEE 2;21011
    ANGL-H;2101;1;X09;      3;TEST;2010-01-16 09:00;2010-01-16 11:30;CIBC;FERMEE 3;21011
