EMPLID;CATALOG_NBR;STRM;SESSION_CODE;CLASS_SECTION;UNITS_MINIMUM;ACAD_ORG;ROLE;STRM_ID
00004050;5326702;2101;P5;A01;1.5;FINANCE;Enseignant;2101P5
00004050;5326702;2101;P5;DF5;1.5;FINANCE;Enseignant;2101P5
00004050;5326702;2101;P5;A01;1.5;FINANCE;Coordonnateur;2101P5
00004050;5326702;2101;P5;DF5;1.5;FINANCE;Coordonnateur;2101P5
11041448;3087101;2093;1;W01;3;IEA;Coordonnateur;20931
11041448;3087101;2093;1;V01;3;IEA;Coordonnateur;20931
11041448;3087101;2101;1;W01;3;IEA;Coordonnateur;21011
11041448;3087101;2101;1;V01;3;IEA;Coordonnateur;21011
11041448;3087101;2093;1;W01;3;IEA;Enseignant;20931
11041448;3087101;2093;1;V01;3;IEA;Enseignant;20931
11041448;3087101;2101;1;W01;3;IEA;Enseignant;21011
11041448;3087101;2101;1;V01;3;IEA;Enseignant;21011
00010057;250909;2093;1;T30;3;GOL;Coordonnateur;20931
00010057;250909;2093;1;T31;3;GOL;Coordonnateur;20931
00010057;250909;2101;1;T30;3;GOL;Coordonnateur;21011
00010057;250909;2101;1;DF1;3;GOL;Coordonnateur;21011
00010057;250909;2101;1;DF1;3;GOL;Enseignant;21011
00010057;250909;2101;1;T30;3;GOL;Enseignant;21011
00010057;250909;2093;1;T30;3;GOL;Enseignant;20931
00010057;250909;2093;1;T31;3;GOL;Enseignant;20931
00005179;161296;2093;1;A01;1;MQG;Coordonnateur;20931
00005179;161296;2093;1;B02;1;MQG;Coordonnateur;20931
00005179;161296;2093;1;C03;1;MQG;Coordonnateur;20931
00005179;161296;2093;1;D04;1;MQG;Coordonnateur;20931
00005179;161296;2093;1;E05;1;MQG;Coordonnateur;20931
00005179;161296;2093;1;F06;1;MQG;Coordonnateur;20931
00005179;161296;2093;1;G07;1;MQG;Coordonnateur;20931
00005179;161296;2093;1;H08;1;MQG;Coordonnateur;20931
00005179;161296;2093;1;I09;1;MQG;Coordonnateur;20931
00005179;161296;2093;1;J10;1;MQG;Coordonnateur;20931
00005179;161296;2093;1;K11;1;MQG;Coordonnateur;20931
00005179;161296;2093;1;M13;1;MQG;Coordonnateur;20931
00005179;161296;2093;1;N14;1;MQG;Coordonnateur;20931
00005179;161296;2093;1;T30;1;MQG;Coordonnateur;20931
00005179;161296;2093;1;T31;1;MQG;Coordonnateur;20931
00005179;161296;2093;1;DF1;1;MQG;Coordonnateur;20931
00005179;161296;2093;1;L12;1;MQG;Coordonnateur;20931
00005179;161296;2101;1;X24;1;MQG;Coordonnateur;21011
00005179;161296;2101;1;Y25;1;MQG;Coordonnateur;21011
00005179;161296;2101;1;Z26;1;MQG;Coordonnateur;21011
00005179;161296;2101;1;DF1;1;MQG;Coordonnateur;21011
00005179;161296;2101;1;DF1;1;MQG;Enseignant;21011
