ACAD_CAREER;STRM;DESCR_français;DESCR_anglais;DESCRSHORT_français;DESCRSHORT_anglais;SESS_BEGIN_DT;SESS_END_DT;SESSION_CODE;STRM_ID
ACC;2093;Automne 2009;Fall 2009;A-2009;F-2009;2009-08-29;2009-12-22;1;20931
ACC;2093;Automne 2009;Fall 2009;A-2009;F-2009;2009-08-24;2009-10-11;P1;2093P1
ACC;2093;Automne 2009;Fall 2009;A-2009;F-2009;2009-10-13;2009-11-22;P2;2093P2
ACC;2093;Automne 2009;Fall 2009;A-2009;F-2009;2009-11-23;2010-01-17;P3;2093P3
ACC;2101;Hiver 2010;Winter 2010;H-2010;W-2010;2010-01-04;2010-04-30;1;21011
ACC;2101;Hiver 2010;Winter 2010;H-2010;W-2010;2010-01-11;2010-02-28;P4;2101P4
ACC;2101;Hiver 2010;Winter 2010;H-2010;W-2010;2010-03-08;2010-04-25;P5;2101P5
ACC;2101;Hiver 2010;Winter 2010;H-2010;W-2010;2010-04-26;2010-06-13;P6;2101P6
ACC;2102;Été 2010;Summer 2010;E-2010;S-2010;2010-05-06;2010-07-04;1;21021
ACC;2102;Été 2010;Summer 2010;E-2010;S-2010;2010-06-14;2010-07-04;P7;2102P7
ACC;2102;Été 2010;Summer 2010;E-2010;S-2010;2010-07-05;2010-08-08;P8;2102P8
ACC;2102;Été 2010;Summer 2010;E-2010;S-2010;2010-08-09;2010-08-26;P9;2102P9
APRE;2093;Automne 2009;Fall 2009;A-2009;F-2009;2009-08-29;2009-12-22;1;20931
APRE;2101;Hiver 2010;Winter 2010;H-2010;W-2010;2010-01-04;2010-04-30;1;21011
APRE;2102;Été 2010;Summer 2010;E-2010;S-2010;2010-05-06;2010-07-04;1;21021
BAA;2093;Automne 2009;Fall 2009;A-2009;F-2009;2009-08-29;2009-12-22;1;20931
BAA;2101;Hiver 2010;Winter 2010;H-2010;W-2010;2010-01-04;2010-04-30;1;21011
BAA;2102;Été 2010;Summer 2010;E-2010;S-2010;2010-05-06;2010-07-04;1;21021
CERT;2093;Automne 2009;Fall 2009;A-2009;F-2009;2009-08-29;2009-12-22;1;20931
CERT;2101;Hiver 2010;Winter 2010;H-2010;W-2010;2010-01-04;2010-04-30;1;21011
CERT;2102;Été 2010;Summer 2010;E-2010;S-2010;2010-05-06;2010-07-04;1;21021
COAC;2093;Automne 2009;Fall 2009;A-2009;F-2009;2009-08-29;2009-12-22;1;20931
COAC;2101;Hiver 2010;Winter 2010;H-2010;W-2010;2010-01-04;2010-04-30;1;21011
COAC;2102;Été 2010;Summer 2010;E-2010;S-2010;2010-05-06;2010-07-04;1;21021
DES;2093;Automne 2009;Fall 2009;A-2009;F-2009;2009-08-29;2009-12-22;1;20931
DES;2101;Hiver 2010;Winter 2010;H-2010;W-2010;2010-01-04;2010-04-30;1;21011
DES;2102;Été 2010;Summer 2010;E-2010;S-2010;2010-05-06;2010-07-04;1;21021
MBA;2093;Automne 2009;Fall 2009;A-2009;F-2009;2009-08-24;2010-01-17;1;20931
MBA;2093;Automne 2009;Fall 2009;A-2009;F-2009;2009-08-24;2009-10-11;P1;2093P1
MBA;2093;Automne 2009;Fall 2009;A-2009;F-2009;2009-10-13;2009-11-22;P2;2093P2
MBA;2093;Automne 2009;Fall 2009;A-2009;F-2009;2009-11-23;2010-01-17;P3;2093P3
MBA;2101;Hiver 2010;Winter 2010;H-2010;W-2010;2010-01-11;2010-06-13;1;21011
MBA;2101;Hiver 2010;Winter 2010;H-2010;W-2010;2010-01-11;2010-02-28;P4;2101P4
MBA;2101;Hiver 2010;Winter 2010;H-2010;W-2010;2010-03-08;2010-04-25;P5;2101P5
MBA;2101;Hiver 2010;Winter 2010;H-2010;W-2010;2010-04-26;2010-06-13;P6;2101P6
MBA;2102;Été 2010;Summer 2010;E-2010;S-2010;2010-06-14;2010-08-26;1;21021
MBA;2102;Été 2010;Summer 2010;E-2010;S-2010;2010-06-14;2010-07-04;P7;2102P7
MBA;2102;Été 2010;Summer 2010;E-2010;S-2010;2010-07-05;2010-08-08;P8;2102P8
MBA;2102;Été 2010;Summer 2010;E-2010;S-2010;2010-08-09;2010-08-26;P9;2102P9
MSC;2093;Automne 2009;Fall 2009;A-2009;F-2009;2009-08-29;2009-12-22;1;20931
MSC;2101;Hiver 2010;Winter 2010;H-2010;W-2010;2010-01-04;2010-04-30;1;21011
MSC;2102;Été 2010;Summer 2010;E-2010;S-2010;2010-05-06;2010-07-04;1;21021
MSCP;2093;Automne 2009;Fall 2009;A-2009;F-2009;2009-08-29;2009-12-22;1;20931
MSCP;2101;Hiver 2010;Winter 2010;H-2010;W-2010;2010-01-04;2010-04-30;1;21011
MSCP;2102;Été 2010;Summer 2010;E-2010;S-2010;2010-05-06;2010-07-04;1;21021
PHD;2093;Automne 2009;Fall 2009;A-2009;F-2009;2009-08-29;2009-12-22;1;20931
PHD;2101;Hiver 2010;Winter 2010;H-2010;W-2010;2010-01-04;2010-04-30;1;21011
PHD;2102;Été 2010;Summer 2010;E-2010;S-2010;2010-05-06;2010-07-04;1;21021
PHDP;2093;Automne 2009;Fall 2009;A-2009;F-2009;2009-08-29;2009-12-22;1;20931
PHDP;2101;Hiver 2010;Winter 2010;H-2010;W-2010;2010-01-04;2010-04-30;1;21011
PHDP;2102;Été 2010;Summer 2010;E-2010;S-2010;2010-05-06;2010-07-04;1;21021
